date,username,tweet
5/10/2022 15:12,scaehywn,Pantesan w heran napa lgbt lgi booming di indo ternyata:/
5/10/2022 15:12,zarazettirazr,@bukupembaharu Aku masi bingung kenapa baru RAME yang episode gay ini? Podcast Deddy itu kan uda SERING undang NARSUM LGBT ya cowok ya cewek
5/10/2022 15:12,awokwok_hahaha,@MCAOps si deddy tau akibat dari podcast LGBT yg dia upload dia cuma lempar gayung aja itu kalo gak disambut yaaa lanjut #UnsubscribePodcastDeddy
5/10/2022 15:12,Rubiyaaah211,Winda LGBT  Klik linknya KLIK LINKNYA  https://t.co/UkAlTAePLL
5/10/2022 15:12,awokwok_hahaha,si deddy tau akibat dari podcast LGBT yg dia upload dia cuma lempar gayung aja itu kalo gak disambut yaaa lanjut #UnsubscribePodcastDeddy
5/10/2022 15:12,FaishalIshal5,"@PrinceJanvierX @LukeSusilo @Ucokkkkkkk5 @waltzwq_ well realitanya kita bukan negara barat , dan LGBT gak sesuai dengan hukum dan pancasila kita ..   ah gak juga justru gue liat penolakan itu banyak oleh masyarakat kita dari berbagai golongan muda dan tua mayoritas bersatu menolak hal begini"
5/10/2022 15:12,hidayah_pharaoh,Sesama LGBT
5/10/2022 15:11,itsselmoo,padahal t dari lgbt itu trans loh 🫣
5/10/2022 15:11,SangLangit01,@Siwiliwili1 Takada agama apapun yg leglaka LGBT
5/10/2022 15:11,6666Irfan,@fahiraidris Apa mungkin @corbuzier dulu korban LGBT ?
5/10/2022 15:11,itsselmoo,"lucu banget orang indo. konten yg ngundang keluarga lgbt ketar ketir tapi modelan macam lucinta luna dikasih panggung welcome aja mereka apalagi kalo masalah open bo, video bokep beh ilmu internet nya meningkat 🤡"
5/10/2022 15:10,adekrsnnd,"LGBT di agama abrahamik cuma pernah disebut 1x. Itupun cuma sebagian kecil dari dosa besar sodom-gomora.  Itu aja juga ga jelas apakah LGBTnya dosa atau engga, karena frasanya disambung dengan “ritual berhala seks sesama jenis”. Jadi ambigu, itu semua dosa atau sebagian?"
5/10/2022 15:10,KanopiKeren,Mengenal Kaca Laminated Tempered untuk Lantai  LGBT Komang Suci Winda Bekasi Utara   https://t.co/5QsO3x41Q5  https://t.co/5PezikzQ2M
5/10/2022 15:10,Cantique_Dy,"LGBT itu identik dgn sodom dan gomora.. dan kalo diliat di kitab suci, yg dibahas itu laki dgn laki.. engga ada perempuan dgn perempuan.. dan memang perilaku penyimpangan s*x banyak di sodom gomora krn meresahkan pd jaman itu, makanya dibinasakan sama Tuhan.. mgkkah terjadi lagi?"
5/10/2022 15:10,archon_sumatera,"Jokes tmn skul gue ngapa dikit"" LGBT gini anjenf. Ngeri bngt bngst"
5/10/2022 15:10,azkapribadi29,"Iya, minta maaf setelah target iklan LGBT mencapai target...berulang kali dia bikin..."
5/10/2022 15:10,FarhanMz192000,@karimnas_ LGBT tai lah
5/10/2022 15:09,Danendrdaffa,"Yes, im talking abt LGBT. Sebagaimana jati diri bangsa kita yang plural, seharusnya kita dapat menerima berbagai bentuk dari keberagaman. Penolakan mereka adalah ironis, karena artinya kita tidak menerapkan semboyan yang selalu kita banggakan."
5/10/2022 15:09,mitrapost_,Podcast LGBT Deddy Corbuzier Banyak Tuai Kecaman  https://t.co/u2S1sFO3SX
